vegetable,location,NDVI,SR,WI,RVI,PSND,SGI,VOG,PRI,mNDVI705
tomato,maddur,0.6349270988619423,4.478357867059738,1.0533943080406694,0.9008092444061653,0.6129321271682322,0.5473793759308104,0.8558335397572455,-0.07768286171916707,0.4429547388334035
wheat,jhagdia,0.48074880660364877,2.851700343562569,0.9997952627704848,0.9915699520757549,0.4888323187603763,0.5471880593567758,0.888604428750092,-0.058983008593086535,0.29126108677400847
mango,talala,0.6349270988619423,4.478357867059738,1.0533943080406694,0.9008092444061653,0.6129321271682322,0.5473793759308104,0.8558335397572455,-0.07768286171916707,0.4429547388334035
cotton,maddur,0.20388592560984287,1.5122027914555447,0.949575524451825,1.7064060194387871,0.4520755725573393,0.5606516993695199,0.7417673811428811,-0.14825895906241882,0.11297227003514972
onion,jhagdia,0.7894231823664876,8.497721650826714,1.1596250858686536,0.7099711149624495,0.7225525803731996,0.5579202772963604,1.0023655858681957,0.001181395587744239,0.6721315457106772
banana,anand,0.6579667037877612,4.847383930595338,0.9884924199554417,0.6141181234892874,0.5126871309415519,0.5357445677621837,0.9691536050156738,-0.01566479877738161,0.35447221414353536
eggplant,anand,0.7129582512887453,5.967627562817943,1.1507904550610442,0.7314090671477332,0.632846296418256,0.567655108086223,0.9554762558331046,-0.02276874701704148,0.5576064862395798
banana,jhagdia,0.5918487593010336,3.900144359661786,1.017730714769439,0.7719985352884048,0.5107929918570645,0.5166770151725016,0.9469411764705883,-0.027252401957822227,0.4101233460845012
sapota,talala,0.7251673869463736,6.27715673106726,1.064070595908257,0.6754361479413816,0.628563060039036,0.5491695743196092,0.9837043348599425,-0.00821476510067116,0.5848389566268781
cucumber,kota,0.5826843125609332,3.7925349087003224,1.08244859158453,0.7814773363178511,0.5007734937823671,0.6605204252937884,0.9572949060487933,-0.021818425940430083,0.47590444268504867
mustard,kota,0.5826843125609332,3.7925349087003224,1.08244859158453,0.7814773363178511,0.5007734937823671,0.6605204252937884,0.9572949060487933,-0.021818425940430083,0.47590444268504867
mango,anand,0.6924869117123044,5.503788216418576,1.0496300587473706,0.7967898297260346,0.6457152562417044,0.6724667530761171,0.9726468962976607,-0.013866193566459687,0.5353179451986005
wheat,kota,0.8438722515995122,11.81002269288956,1.1706267236649766,0.5524330874825014,0.7367642367642369,0.5845887047909571,1.0517034548944337,0.025200257264807308,0.7175606362371428
sugarcane,jhagdia,0.5918487593010336,3.900144359661786,1.017730714769439,0.7719985352884048,0.5107929918570645,0.5166770151725016,0.9469411764705883,-0.027252401957822227,0.4101233460845012
legumes,anand,0.6917415891619465,5.48806303309829,1.0896809058157488,0.7092813555056934,0.6006130627593687,0.5173212825298299,0.9324766746745627,-0.034941340410646074,0.480890278317088
